"","[Bacteroides] pectinophilus group","[Clostridium] innocuum group","[Eubacterium] brachy group","[Eubacterium] eligens group","[Eubacterium] fissicatena group","[Eubacterium] hallii group","[Eubacterium] nodatum group","[Eubacterium] oxidoreducens group","[Eubacterium] ruminantium group","[Eubacterium] siraeum group","[Eubacterium] ventriosum group","[Eubacterium] xylanophilum group","[Ruminococcus] gauvreauii group","[Ruminococcus] gnavus group","[Ruminococcus] torques group","Acetanaerobacterium","Acidaminococcus","Actinobacillus","Actinomyces","Adlercreutzia","Aeromonas","Agathobacter","Aggregatibacter","Agrilactobacillus","Akkermansia","Alistipes","Allisonella","Alloprevotella","Alloscardovia","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroplasma","Anaerosporobacter","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovibrio","Angelakisella","Aquamonas","Asaccharobacter","Asaccharospora","Asteroleplasma","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brachyspira","Burkholderia-Caballeronia-Paraburkholderia","Butyricicoccus","Butyricimonas","CAG-352","CAG-56","CAG-873","Caldicoprobacter","Campylobacter","Candidatus Methanomethylophilus","Candidatus Soleaferrea","Capnocytophaga","Cardiobacterium","Catenibacillus","Catenibacterium","Catenisphaera","Cellulosilyticum","CHKCI002","Christensenella","Christensenellaceae R-7 group","Citrobacter","Cloacibacillus","Clostridioides","Clostridium sensu stricto 1","Colidextribacter","Collinsella","Comamonas","Companilactobacillus","Conservatibacter","Coprobacillus","Coprobacter","Coprococcus","Cuneatibacter","Defluviitaleaceae UCG-011","Delftia","Desulfovibrio","Dialister","Dielma","Dorea","DTU089","Eggerthella","Eisenbergiella","Enorma","Enterobacter","Enterococcus","Enterorhabdus","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae UCG-003","Escherichia-Shigella","Eubacterium","Ezakiella","Faecalibacterium","Faecalicoccus","Faecalitalea","Family XIII AD3011 group","Family XIII UCG-001","Fenollaria","Finegoldia","Flavonifractor","Fournierella","Frisingicoccus","Fusicatenibacter","Fusobacterium","GCA-900066575","GCA-900066755","Gemella","Gordonibacter","Granulicatella","Haemophilus","Hafnia-Obesumbacterium","Harryflintia","Holdemanella","Holdemania","Howardella","HT002","Hungatella","Incertae Sedis","Intestinibacter","Intestinimonas","Klebsiella","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lachnospiraceae FCS020 group","Lachnospiraceae NC2004 group","Lachnospiraceae ND3007 group","Lachnospiraceae NK4A136 group","Lachnospiraceae NK4B4 group","Lachnospiraceae UCG-001","Lachnospiraceae UCG-003","Lachnospiraceae UCG-004","Lachnospiraceae UCG-008","Lachnospiraceae UCG-010","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Latilactobacillus","Lelliottia","Lentilactobacillus","Leptotrichia","Leuconostoc","Levilactobacillus","Libanicoccus","Ligilactobacillus","Limosilactobacillus","Mailhella","Marvinbryantia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Methanosphaera","Mitsuokella","Mogibacterium","Monoglobus","Morganella","Negativibacillus","Negativicoccus","Neisseria","NK4A214 group","Odoribacter","Olsenella","Oscillibacter","Oscillospira","Oxalobacter","Paeniclostridium","Paludicola","Papillibacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Pediococcus","Peptococcus","Peptostreptococcus","Phascolarctobacterium","Phocea","Plesiomonas","Porphyromonas","Prevotella","Prevotella_7","Prevotella_9","Prevotellaceae Ga6A1 group","Prevotellaceae NK3B31 group","Prevotellaceae UCG-001","Prevotellaceae UCG-003","Prevotellaceae UCG-004","Proteus","Pseudoflavonifractor","Pseudomonas","Pygmaiobacter","Pyramidobacter","Ralstonia","Raoultella","Raoultibacter","Rikenella","Rikenellaceae RC9 gut group","Robinsoniella","Romboutsia","Roseburia","Rothia","Ruminiclostridium","Ruminococcus","S5-A14a","Sanguibacteroides","Sarcina","Scardovia","Selenomonas","Sellimonas","Senegalimassilia","Shuttleworthia","Slackia","Sneathia","Solobacterium","Staphylococcus","Stomatobaculum","Streptococcus","Subdoligranulum","Succinatimonas","Succiniclasticum","Succinivibrio","Sutterella","Terrisporobacter","TM7x","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UC5-1-2E3","UCG-002","UCG-003","UCG-004","UCG-005","UCG-007","UCG-008","UCG-009","Unknown","Veillonella","Victivallis","Weissella","Yokenella"
"ERR8157527",0,5,1,72,0,204,0,3,1420,0,18,43,45,5,176,0,0,0,0,7,0,157,0,0,7,40,0,0,0,0,3,0,0,0,0,122,2,0,0,0,0,0,0,0,0,4060,131,92,130,643,0,0,111,157,0,58,0,0,0,0,0,0,0,0,229,0,0,0,0,672,0,0,0,82,49,45,0,0,0,0,32,80,0,6,0,0,2211,0,252,26,0,0,0,0,0,0,0,0,2,620,0,1,9447,0,0,81,23,3,0,11,0,0,82,0,33,0,0,0,0,4,0,0,0,16,20,0,0,623,4,45,7,0,580,1143,19,0,31,1225,0,0,0,173,0,112,0,0,0,0,0,5,0,0,0,0,0,0,174,0,0,35,0,0,0,0,0,0,0,112,0,82,0,0,569,36,0,74,85,3,0,0,0,877,135,21,0,0,38,0,0,1,0,0,1150,0,18695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,106,287,3,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,36,160,0,0,0,1501,0,1,0,0,0,22,0,2079,388,70,3724,0,0,11,5593,74,252,3,0
"ERR8157528",0,0,0,1037,0,468,0,7,0,14,36,0,108,0,111,0,0,0,4,0,0,102,0,0,0,551,0,1718,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,3903,8,218,248,900,0,0,553,156,0,9,0,0,1,0,2,0,0,0,295,0,0,0,0,858,0,33,0,348,45,119,0,0,0,7,0,3442,0,16,0,0,2735,0,213,0,0,0,0,0,0,0,0,36,1,1365,0,0,6720,0,0,196,75,0,0,17,0,0,198,0,5,0,0,3,9,4,0,0,168,16,27,35,2,59,0,93,3385,0,407,582,17,4,31,684,0,0,0,191,0,403,0,35,9,0,0,725,0,0,0,24,0,0,496,225,0,53,0,0,0,10,5,0,5,56,0,352,0,0,941,64,0,44,0,65,0,4,0,474,174,25,3,0,4,0,2,0,0,0,216,0,12446,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,470,0,0,668,0,0,0,0,0,0,16,0,0,0,0,0,0,1535,332,0,0,0,938,0,0,0,0,0,5,0,4668,368,40,1323,0,0,59,6444,57,0,35,0
"ERR8157529",6,0,0,704,0,177,0,0,359,7,43,0,21,6,166,0,0,0,2,0,0,581,0,0,0,1383,0,0,0,0,0,0,0,0,0,232,3,0,0,0,0,0,0,0,1,11819,345,10,118,952,0,0,104,259,366,172,0,0,0,0,1,0,0,0,246,0,0,0,0,79,0,0,0,99,31,97,0,0,2,0,20,445,0,2,0,0,0,0,230,0,0,0,0,152,0,0,0,0,47,7,0,0,5766,0,0,13,6,0,0,32,18,0,164,0,12,0,0,0,0,130,0,0,117,6,16,0,1,2,24,17,3154,0,1153,1347,23,0,95,698,0,129,0,101,0,148,0,4,0,0,0,0,8,0,3,0,0,0,0,2,0,23,0,0,0,0,0,34,0,20,0,0,0,0,77,48,0,39,0,0,0,0,0,668,635,39,0,0,19,0,5839,0,0,0,0,0,26698,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1095,0,83,429,0,0,134,0,0,0,0,0,0,11,0,0,0,0,0,0,65,374,0,0,0,1949,0,0,0,0,161,0,0,1186,201,0,1023,0,0,4,1683,49,32,13,0
"ERR8157530",51,0,0,639,1,185,0,0,571,656,17,16,17,0,13,0,0,0,0,2,0,652,0,2,3,477,0,2302,0,0,0,0,0,0,0,385,5,0,0,3,0,0,0,0,0,3473,22,122,325,484,0,0,249,431,0,2,0,0,0,0,16,0,0,0,40,0,0,0,0,344,0,8,0,54,31,148,2,0,3,0,1,397,0,0,0,0,1498,0,152,0,0,0,0,1,2,0,0,0,39,1239,0,1,5767,0,0,148,25,0,0,18,9,0,63,0,0,0,0,0,0,76,0,0,119,7,4,0,0,3,9,91,887,0,319,202,43,0,107,85,0,40,0,68,0,83,1,0,35,0,0,13,0,0,0,0,0,0,73,97,0,22,292,982,0,0,0,0,0,188,0,29,0,2,503,57,0,138,0,13,1,1,0,939,286,67,0,0,17,0,65,1,0,0,1940,0,17316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,435,2,0,242,0,0,0,0,0,0,11,0,6,0,0,0,0,177,300,0,0,242,1700,1,0,14,1,0,8,0,2613,293,28,768,0,0,66,7653,86,26,65,0
"ERR8157531",375,0,0,1021,0,177,0,0,316,3,6,2,64,0,13,0,0,0,0,0,0,199,9,0,3,29,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1872,7,1201,2,1196,0,0,58,0,53,12,147,0,1,0,2,0,0,0,333,0,0,0,0,87,0,0,0,1358,24,87,0,0,0,0,3,277,0,4,0,147,0,0,103,0,0,0,0,151,4,5,0,0,3,31,0,0,22112,0,0,3,0,0,0,0,160,0,16,0,23,0,0,0,0,395,1038,0,89,1,16,0,1,5,193,1,583,0,181,380,64,1,145,2063,0,47,3,154,0,4,3,3,0,4,0,9,360,0,0,0,0,0,0,1,4,43,0,0,0,0,0,55,0,7,0,0,0,5,48,12,6,6,4,0,0,0,0,113,88,8,0,0,26,0,3480,0,0,0,4179,77,21738,0,0,0,0,0,0,0,40,0,0,0,280,0,0,34,0,7,107,3,0,444,0,0,0,0,0,0,34,0,14,0,0,0,0,96,238,0,0,0,236,170,0,9,0,0,0,0,305,173,10,240,0,0,30,6283,192,0,17,0
"ERR8157532",0,0,0,130,2,247,0,0,1821,50,40,59,41,0,120,0,0,0,0,0,0,524,0,0,1722,349,19,0,0,0,0,0,0,0,0,237,2,0,0,0,0,2,26,0,0,8071,154,0,129,1570,0,0,204,101,0,28,713,0,0,0,1,0,0,0,0,0,0,0,0,647,14,0,0,343,127,169,0,0,0,0,0,681,0,9,0,0,0,0,303,0,0,0,0,19,0,7,0,0,107,106,0,0,14520,0,0,80,50,0,0,5,78,0,95,0,33,0,0,0,0,0,13,0,274,7,25,0,0,30,111,46,36,0,792,957,79,2,202,415,0,296,2,177,0,72,0,0,0,0,0,9,43,0,0,2,0,0,0,3,0,151,446,0,0,0,0,91,0,212,0,76,0,0,1109,230,14,93,17,19,0,18,0,454,709,7,0,0,33,0,3014,6,0,0,1493,1179,13968,0,0,0,0,0,0,0,236,0,0,0,4,0,0,0,0,124,692,0,0,354,0,2,0,0,0,0,12,0,18,0,0,0,0,0,225,0,0,0,1320,20,2,8,0,0,0,0,1610,583,10,1098,0,0,29,8480,0,29,7,0
"ERR8157533",0,0,0,419,0,164,0,0,101,0,7,12,42,0,27,0,0,0,7,0,0,1133,0,0,2,117,0,0,6,0,0,0,0,0,3,15,0,0,0,8,0,0,0,0,0,1463,5,9,4,388,0,0,80,28,0,22,0,0,9,0,0,0,0,0,20,0,0,0,0,34,0,0,0,354,60,19,0,0,3,0,0,579,0,1,0,2,396,0,174,0,0,0,0,1,11,1,0,0,0,13747,0,0,2272,0,0,10,13,0,0,0,22,0,17,236,6,0,0,0,0,637,0,0,123,0,6,2664,0,0,0,40,308,6,546,239,12,0,89,267,0,30,0,371,0,255,0,23,1465,22,0,13,1,0,196,5,4,0,2803,4,0,9,0,94,0,0,0,0,0,85,0,0,0,2,89,42,2,0,0,0,0,0,0,420,31,0,0,0,0,0,2,0,149,0,2992,12,15711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,4,0,102,0,0,0,0,0,0,5,0,2,0,0,0,5,1317,88,0,0,0,420,0,0,0,0,0,0,0,224,183,1,37,0,0,4,2020,7263,29,15,0
"ERR8157534",0,0,0,216,0,393,0,0,738,0,169,0,216,49,421,0,0,0,0,9,0,796,0,0,2555,522,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,2416,113,228,35,955,0,0,116,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,51,124,0,0,0,0,33,705,0,0,0,3,862,0,325,2,1,0,0,3,2,0,0,2,210,2773,0,0,3779,0,0,77,6,0,0,8,0,0,234,0,6,0,0,0,0,43,0,0,158,3,0,0,3,17,0,57,0,0,1032,739,25,0,51,153,0,138,0,205,2,134,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,12,9218,0,0,0,0,0,0,118,0,84,0,0,105,73,0,45,2,0,0,0,0,188,0,62,0,0,7,0,8,0,0,0,4406,0,14598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,325,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,98,365,0,0,0,759,0,0,0,0,0,26,0,975,184,42,245,0,0,3,1083,16,4,1,0
"ERR8157535",0,474,0,0,0,324,0,0,0,0,96,0,35,146,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,6,386,0,0,0,0,0,0,0,0,0,73,0,1562,0,5040,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,52,26,0,0,331,0,12,132,0,0,0,0,4,2,0,3,0,0,0,0,1084,0,0,0,0,482,0,62,99,0,11,1268,46,1827,0,0,0,0,5409,0,0,1,0,695,0,0,0,254,0,0,0,0,0,649,0,0,0,0,0,0,0,0,189,0,138,0,791,4592,0,0,0,0,0,0,0,2,0,0,2,0,0,37,0,57,2,0,23,21,0,0,4,15,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,345,27231,0,0,0,0,0,0,34,0,0,0,0,1,87,0,0,0,44,50,6652,7,0,13,0,0,0,0,5,0,0,0,4,0,0,0,0,112,0,0,0,0,0,0,4,0,0,436,0,0,0,0,0,0,0,0,0,1471,4560,0,55,0
"ERR8157536",0,0,0,553,0,503,0,0,0,3,81,0,165,0,185,0,0,0,22,26,0,1048,0,0,101,625,67,0,0,0,0,0,0,0,0,1049,0,0,0,0,2,0,0,2,0,5833,153,811,20,2820,0,0,305,34,0,233,0,0,4,0,0,0,0,0,0,0,0,0,0,53,0,0,0,170,99,309,10,0,0,0,0,623,0,0,0,0,806,0,759,0,0,0,0,217,0,0,0,0,239,13,0,0,13336,0,0,5,6,0,0,4,46,0,427,0,14,0,0,5,0,753,0,0,1481,2,48,0,0,25,53,53,244,0,254,349,221,0,83,674,0,51,0,152,0,17,0,0,0,1,0,3,0,0,0,7,0,0,401,0,0,81,259,2,0,0,0,0,0,54,0,2,0,0,67,14,0,8,9,0,0,0,0,601,162,7,0,0,0,0,0,0,0,0,0,0,19644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,107,5,0,542,0,0,0,0,4,0,0,0,0,0,190,0,0,604,723,0,0,0,1517,14,0,25,0,0,0,0,970,322,57,170,0,0,0,2572,312,12,194,0
"ERR8157537",454,0,104,717,13,6329,0,4,120,87,5,3,511,0,726,0,0,0,118,10,0,7,0,0,2,15,0,485,1,0,0,3,0,0,0,21836,2,0,0,0,0,0,0,3,4,1676,9,747,134,8741,206,0,409,1,20,32,0,0,0,0,12,0,0,0,2881,0,0,0,14,576,0,131,0,41,29,2515,0,0,0,0,0,1577,0,31,0,1,3234,0,477,0,0,9,0,0,0,277,0,1,9951,0,55,0,4685,0,0,191,50,0,0,4,19,0,245,0,0,0,0,0,0,24,0,0,1040,15,190,0,1,244,0,365,0,0,86,305,63,0,117,198,0,90,18,55,0,11,0,0,0,0,5,161,0,0,0,161,0,0,5,1,0,293,0,2,0,130,200,0,0,203,0,3,0,2,1095,1,0,40,1,19,0,3,0,121,0,0,0,0,0,0,165,1,0,0,303,21,458,0,0,0,0,0,0,0,0,0,0,4,0,12,0,392,0,91,393,34,0,552,0,0,0,0,0,0,574,0,213,0,8,0,0,109,1532,0,0,0,101,0,6,9,0,0,52,0,2728,148,0,1653,0,0,18,9592,84,4,547,0
"ERR8157538",0,4,17,1895,2,1834,0,0,587,43,120,27,76,0,826,0,0,0,0,93,0,0,0,0,0,6898,0,0,0,0,1,1,0,0,0,618,18,0,0,0,0,0,14,0,0,7612,285,279,490,2235,0,0,165,525,74,116,0,0,0,0,15,0,0,0,0,7,0,0,4,1459,0,0,0,809,60,269,0,0,0,0,0,1020,0,0,0,0,0,0,754,0,8,0,0,0,0,0,0,3,1083,29,11,0,8544,0,0,205,61,0,0,2,0,0,562,0,45,0,0,2,0,0,0,0,0,47,0,0,5,139,31,14,103,0,250,944,50,0,149,516,0,21,0,13,0,274,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,183,47,0,0,0,0,22,0,121,0,151,0,0,635,1160,0,149,0,0,0,4,0,1700,230,14,0,0,21,0,3502,10,0,0,187,0,1134,409,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,772,359,0,0,200,0,0,18,0,0,0,60,0,0,0,0,0,0,34,635,0,0,0,346,3,10,4,0,0,31,0,6595,58,260,2267,0,0,61,10419,0,215,0,0
"ERR8157539",0,0,0,415,0,592,0,3,2028,1666,50,17,97,0,8,4,0,0,0,9,0,476,0,0,0,64,0,1048,0,0,0,0,0,0,0,257,9,0,0,0,0,0,0,0,0,1376,2,46,107,1137,0,0,175,88,390,23,0,0,0,0,4,0,0,0,356,0,0,0,0,644,0,14,0,20,65,220,0,0,0,0,84,195,0,9,0,0,685,0,335,3,1,1,0,0,0,7,0,2,9,15549,1,0,4148,0,0,397,61,0,0,0,0,0,133,0,8,0,0,0,0,2,0,0,85,11,55,0,0,47,0,8,65,0,418,823,53,0,161,258,7,115,10,168,0,179,0,1,1863,0,2,1,0,0,0,0,0,0,0,18,0,178,0,0,0,8,13,0,0,332,0,0,0,0,488,108,0,45,6,11,0,1,0,279,731,53,0,0,51,0,1943,0,0,0,2791,0,10930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,1,146,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,33,613,0,0,0,5,0,0,0,0,0,2,0,1117,85,9,629,0,0,29,8441,28,17,1,0
"ERR8157540",432,0,0,1540,0,134,0,0,54,679,16,381,67,0,72,0,0,0,3,0,0,198,0,0,0,677,0,0,0,0,0,0,0,0,0,815,5,0,0,0,0,0,19,0,3,7872,14,30,68,663,0,0,106,214,134,160,0,0,0,0,19,0,0,0,0,0,0,0,0,2410,0,134,0,321,36,48,0,0,2,0,0,96,0,2,0,111,0,0,223,0,1,17,0,0,61,0,1,4,308,404,0,0,5763,0,0,298,32,0,0,2,122,0,112,0,47,0,0,3,0,24,0,0,319,2,29,0,7,42,180,32,0,0,429,184,22,0,122,659,30,209,618,206,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,7,0,0,0,224,0,0,0,0,772,92,0,56,0,64,0,0,0,796,70,80,0,0,41,0,1001,0,0,158,2275,0,478,0,1674,0,2669,0,0,0,52,0,0,0,0,1,0,643,0,415,433,0,0,1240,0,12,0,0,0,0,33,0,0,0,34,0,0,4,318,0,0,0,360,51,0,175,0,0,8,0,2838,305,41,1907,0,0,78,8101,44,96,4,0
