"","[Clostridium] innocuum group","[Eubacterium] brachy group","[Eubacterium] eligens group","[Eubacterium] fissicatena group","[Eubacterium] hallii group","[Eubacterium] nodatum group","[Eubacterium] ruminantium group","[Eubacterium] siraeum group","[Eubacterium] ventriosum group","[Eubacterium] xylanophilum group","[Ruminococcus] gauvreauii group","[Ruminococcus] gnavus group","[Ruminococcus] torques group","Abiotrophia","Acetanaerobacterium","Achromobacter","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Agathobacter","Aggregatibacter","Akkermansia","AKYG587","Alcaligenes","Algoriphagus","Alistipes","Alkanindiges","Allisonella","Alloprevotella","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Alloscardovia","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaerolinea","Anaeroplasma","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovorax","Arenimonas","Asticcacaulis","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brachybacterium","Brevibacillus","Brevundimonas","Butyricicoccus","Butyricimonas","CAG-352","CAG-56","Candidatus Kuenenia","Candidatus Saccharimonas","Candidatus Soleaferrea","Candidatus Stoquefichus","Capnocytophaga","Cardiobacterium","Carnobacterium","Catabacter","Catenibacillus","Catenibacterium","Cellulosilyticum","CHKCI001","CHKCI002","Christensenella","Christensenellaceae R-7 group","Chroococcidiopsis SAG 2023","Chryseobacterium","Citrobacter","Cloacibacillus","Clostridioides","Clostridium sensu stricto 1","Cnuella","Colidextribacter","Collinsella","Companilactobacillus","Coprobacillus","Coprobacter","Coprococcus","Corynebacterium","Cuneatibacter","Curvibacter","Cutibacterium","Defluviitaleaceae UCG-011","Deinococcus","Desulfobacca","Desulfovibrio","Dialister","Dielma","Dorea","DTU089","Eggerthella","Eisenbergiella","Enhydrobacter","Enorma","Ensifer","Enterobacter","Enterococcus","Enterorhabdus","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae UCG-003","Erysipelotrichaceae UCG-006","Escherichia-Shigella","Eubacterium","Ezakiella","F0332","Faecalibacterium","Faecalicoccus","Faecalitalea","Family XIII AD3011 group","Family XIII UCG-001","Fenollaria","Finegoldia","Flavobacterium","Flavonifractor","Fournierella","Frisingicoccus","Fructilactobacillus","Furfurilactobacillus","Fusicatenibacter","Fusobacterium","Gardnerella","GCA-900066575","GCA-900066755","Gemella","Geobacillus","Gordonibacter","Granulicatella","Haemophilus","Harryflintia","Helicobacter","Holdemanella","Holdemania","Howardella","HT002","Hungatella","Incertae Sedis","Intestinibacter","Intestinimonas","JGI-0000079-D21","Johnsonella","Klebsiella","Kocuria","Kurthia","Lachnoclostridium","Lachnospira","Lachnospiraceae AC2044 group","Lachnospiraceae FCS020 group","Lachnospiraceae NC2004 group","Lachnospiraceae ND3007 group","Lachnospiraceae NK4A136 group","Lachnospiraceae UCG-001","Lachnospiraceae UCG-003","Lachnospiraceae UCG-004","Lachnospiraceae UCG-010","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Latilactobacillus","Lawsonella","Leptolinea","Leptotrichia","Leuconostoc","Ligilactobacillus","Limnobacter","Limosilactobacillus","Longilinea","Luteimonas","Lysobacter","Macrococcus","Marvinbryantia","Massilia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Methylobacterium-Methylorubrum","Microbacterium","Micromonospora","Mitsuokella","Mobiluncus","Mogibacterium","Monoglobus","Morganella","Mycobacterium","Mycoplasma","Negativibacillus","Neisseria","Nitrospira","NK4A214 group","Nocardioides","Noviherbaspirillum","Novosphingobium","Odoribacter","OLB13","Olsenella","Oribacterium","Oscillibacter","Oscillospira","Oxalobacter","Paeniclostridium","Paeniglutamicibacter","Paenisporosarcina","Paludicola","Papillibacter","Parabacteroides","Paracoccus","Paraeggerthella","Paraprevotella","Parasutterella","Parvimonas","Patulibacter","Pediococcus","Pedobacter","Peptoclostridium","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Porphyromonas","Prevotella","Prevotella_9","Prevotellaceae Ga6A1 group","Prevotellaceae NK3B31 group","Prevotellaceae UCG-001","Propionibacterium","Propioniciclava","Proteus","Pseudarthrobacter","Pseudomonas","Pseudopropionibacterium","Psychrobacter","Pygmaiobacter","Pyramidobacter","Rahnella1","Raoultella","Raoultibacter","Rhizobacter","Rhodococcus","Rikenellaceae RC9 gut group","Robinsoniella","Romboutsia","Roseburia","Roseococcus","Rothia","Ruminiclostridium","Ruminococcus","Sanguibacteroides","Sarcina","Scardovia","Selenomonas","Sellimonas","Senegalimassilia","Shewanella","Shuttleworthia","Slackia","SM1A02","Solobacterium","Sphingomonas","Staphylococcus","Streptococcus","Streptomyces","Subdoligranulum","Sulfurimonas","Sutterella","Synergistes","Terrisporobacter","Thermus","Tissierella","TM7a","TM7x","Treponema","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UBA6140","UC5-1-2E3","UCG-002","UCG-003","UCG-004","UCG-005","UCG-008","UCG-009","Unknown","Vagococcus","Veillonella","Verrucosispora","Vibrio","Weissella"
"SRR9671446",67,0,0,0,0,0,0,0,0,0,0,2199,1469,0,0,0,260,32,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,67,0,871,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,51,0,0,126,0,0,26467,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,892,0,0,500,7,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,1248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,3,0,0,0,2,0,0,0,1,0,10,0,0,32,0,0,0,0,0,0,0,0,281,0,76,0,0,5
"SRR9671447",1,0,1,0,110,0,0,0,6,0,0,174,103,0,0,0,84,25,0,3,0,24,0,0,0,0,0,276,0,32,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,6406,0,44,22,428,0,0,0,173,11,2,6,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,63,0,4,127,0,0,4,102,0,0,0,0,0,0,0,161,1,0,97,1,5,0,0,0,0,0,527,0,0,0,14,0,32,0,0,0,2514,0,3,0,0,0,1,0,22,0,0,0,0,59,735,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,16,0,1,0,0,0,0,0,827,62,0,0,0,7,5,0,0,40,14,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,9277,502,0,0,0,0,0,0,0,0,10,0,0,0,29,0,0,56,0,0,0,21,0,0,0,11,0,0,0,0,0,0,0,169,0,0,51,0,0,0,0,0,0,0,0,0,506,1,0,7,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,8,1112,0,1,0,34,0,0,0,0,0,0,0,0,20,0,0,0,0,7,0,1442,0,1,0,0,0,0,0,2,0,0,24,5,11,0,0,28,0,0,16,0,0,961,0,1,0,0,0
"SRR9671448",4,0,24,0,710,0,0,0,416,0,0,772,378,0,0,0,13,31,13,0,0,5686,0,60,0,0,0,68,0,113,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,0,1551,0,1437,59,1320,0,0,0,456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,21,154,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,18,4,0,10,0,0,5,0,0,24,0,0,554,0,0,0,1336,0,0,0,0,0,0,0,12,0,0,0,0,76,1,0,0,0,6,0,0,0,1,0,0,0,0,0,159,0,7,1,4,0,0,0,0,0,1159,65,0,7,0,72,2,0,0,43,0,50,0,88,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,5,0,0,15,1135,0,7,0,1524,0,0,0,0,58,0,0,0,0,0,3,0,56,1931,0,54,0,0,0,0,0,0,0,26,0,0,12,59,3,0,0,1,0,0,0,0,0,485,0,2420,0,0,0
"SRR9671449",34,0,0,4,611,7,0,1,7175,0,1,480,473,0,0,0,0,46,39,6,0,6,0,3909,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,7,0,199,9,1357,1,5568,0,0,0,107,0,2,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,1039,0,0,0,167,0,0,0,0,0,0,0,0,0,0,400,21,203,411,0,30,0,0,5,0,0,18,730,0,1508,4,0,0,18,0,0,12,22,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,1,0,2,0,7,26,1,0,0,0,0,0,1234,7,0,5,0,2,16,1,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,9,0,42,0,29,692,0,0,2,0,6,0,0,0,40,0,3,0,1,0,0,16,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,730,3,0,1,0,667,0,1,0,0,2,0,0,0,0,0,7,0,0,820,0,37,3,0,0,2,0,0,0,48,0,42,0,103,182,0,0,1,0,0,2,0,0,678,0,1,4,0,1
"SRR9671450",40,0,0,0,678,0,0,0,36,5,115,284,1145,0,0,0,1,43,24,9,0,885,0,0,0,0,0,2,0,90,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,66,0,17,38,3024,0,3,0,360,0,134,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,0,0,214,0,0,0,250,0,0,0,0,0,0,0,3,0,0,689,0,0,3,0,0,0,3,0,0,0,4,586,0,2842,0,0,0,746,0,0,0,3,0,0,0,0,0,0,0,0,123,710,0,1,0,7,0,0,0,1,0,0,0,11,0,0,0,6,673,0,0,0,1,0,0,603,12,0,26,0,66,22,0,1,16,53,0,0,3,0,0,0,0,0,0,0,19,0,1,0,0,0,0,14,7,1,4,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,49,0,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,2284,2581,0,1,0,176,0,0,0,0,0,0,0,0,0,0,11,0,4,608,0,249,0,0,0,0,0,0,0,6,0,246,0,1,2,0,0,3,0,0,12,0,0,934,0,105,0,0,0
"SRR9671451",910,0,0,0,3,0,1,7,4,0,0,3271,2028,0,0,0,0,122,30,0,0,41,0,617,0,0,0,9,0,85,0,0,0,3,0,0,0,0,0,0,51,0,0,0,0,0,0,107,0,27,0,10220,0,0,0,6,0,39,2,0,0,0,0,0,0,0,0,0,0,0,74,0,0,23,0,0,8,0,79,14,0,0,0,0,0,0,26,0,5,0,0,0,0,0,2,2322,0,2,287,417,0,0,0,0,229,5,0,0,1234,0,0,151,0,0,0,149,0,0,1,0,0,2,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,16,288,648,0,0,0,3841,0,0,236,5,0,0,0,0,11,1,0,0,6,0,0,4,4,0,0,0,0,0,0,17,0,0,0,0,0,0,0,6,3,86,0,0,5,0,0,0,0,0,884,0,0,0,2,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,64,0,0,0,0,0,0,0,32,0,0,0,0,0,16,0,0,3,0,0,22,17,0,8,0,7,0,0,0,0,111,0,0,0,0,0,0,0,0,375,0,90,0,2,0,0,0,0,0,0,0,46,0,388,449,0,0,46,2,0,10,0,1,2268,0,36,0,0,2
"SRR9671452",0,0,5,0,462,0,0,0,7,0,0,205,209,0,0,0,14,35,3,0,0,8357,0,156,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,1715,0,0,0,0,4,0,51,0,8,0,990,0,0,0,73,0,1,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3326,0,166,0,37,0,0,0,0,0,0,0,0,74,271,0,3109,0,0,0,1220,0,0,0,0,0,0,0,2,0,0,0,0,115,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,9,6,8,0,0,0,1,0,0,241,15,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,96,0,9,0,115,0,0,0,0,0,0,0,0,0,0,2,0,0,38,0,2755,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,186,0,20,0,0,0
"SRR9671453",10,229,31,32,4684,75,0,209,92,8,60,82,528,1,0,0,0,69,23,342,0,356,0,31,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,305,11,0,0,0,8,2,712,55,2976,0,5089,0,0,0,54,20,0,0,0,0,13,0,0,0,0,33,27,0,0,0,0,41,43,0,0,6,0,0,18,0,3,732,0,0,9,0,10,0,0,0,5,0,0,186,11,0,210,187,32,0,0,0,0,1,12,0,0,142,0,0,3682,0,0,0,1042,0,4,6,15,0,0,0,13,0,187,0,0,270,0,0,0,4,17,0,21,0,0,0,0,0,4,0,0,0,320,12,62,0,0,82,0,0,552,0,0,3,0,4,76,15,0,0,23,0,0,175,10,10,0,0,0,0,0,32,0,0,0,0,0,0,0,0,36,1,0,0,1,0,0,0,0,3,235,0,0,0,5,0,0,0,0,0,0,19,0,0,0,86,0,0,0,0,0,9,0,42,0,0,73,0,0,0,0,0,0,0,0,0,1537,4,0,0,84,0,0,0,0,0,0,0,8,0,0,37,33,0,0,23,0,6,0,0,690,392,0,2,0,153,0,0,0,0,101,0,0,0,0,0,5,0,0,2631,0,2179,0,16,0,1,0,0,0,10,0,0,218,0,197,0,0,195,9,0,62,0,2,1800,0,5,0,0,52
"SRR9671454",0,0,103,0,84,7,0,441,18,0,7,20,97,0,0,0,0,5,0,42,0,927,0,81,0,0,0,1126,0,0,0,0,0,0,1,0,0,0,0,0,1129,0,0,0,0,0,0,3608,0,65,50,1283,0,0,0,150,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,4,0,3,0,0,0,0,264,0,0,0,0,14,0,0,0,0,0,88,3,13,3,0,0,0,0,4,0,0,0,132,0,3568,0,0,0,5601,0,0,32,22,0,0,0,32,0,0,0,0,565,0,0,16,0,0,0,0,0,0,0,0,1,6,0,3,7,138,0,16,0,0,0,0,0,288,130,0,0,0,77,68,0,0,42,119,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,142,0,0,2,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,142,293,0,0,0,173,0,0,0,0,35,0,0,0,0,0,0,0,0,69,0,743,0,0,0,0,0,0,0,2,0,0,0,0,41,0,1,132,33,0,148,0,16,3450,0,12,0,0,1
"SRR9671455",570,0,0,18,0,1,0,0,0,0,0,2283,235,0,0,0,0,75,46,0,0,0,0,3302,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,7,0,1341,0,46,241,3319,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,125,0,0,0,0,0,8,0,0,164,126,0,534,0,0,0,6,0,0,0,0,0,0,0,85,0,0,0,0,0,23,5,0,0,3,0,0,3,0,0,0,0,0,0,0,10,88,0,0,0,0,0,0,0,1654,0,0,0,0,0,0,0,0,14,61,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,5,1,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,7170,0,3,0,0,0,0,0,0,0,22,0,0,570,0,239,0,0,0,0,0,0,0,0,4164,0,45,0,1,0
"SRR9671456",730,0,0,0,21,0,0,0,1,0,1,2688,1,1,0,0,0,43,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,0,0,0,0,1,0,1799,0,2,0,539,0,0,0,16,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,854,1,0,5742,0,0,0,13,0,0,0,0,0,0,0,1,913,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2413,35,77,0,0,0,75,0,0,6709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,1,0,0,0,0,0,839,0,1585,0,0,0
